1200|55|100
1440|55|0
1440|55|100
1680|55|0
1680|50|100
1920|50|0
1920|43|100
2160|43|0
2160|59|100
2280|59|0
2280|60|100
2400|60|0
2400|62|100
2520|62|0
2520|60|100
2640|60|0
2640|59|100
2760|59|0
2760|57|100
2880|57|0
2880|59|100
3120|59|0
3120|50|100
3360|50|0
3360|43|100
3600|43|0
3600|55|100
3720|55|0
3720|57|100
3840|57|0
3840|59|100
4080|59|0
4080|55|100
4320|55|0
4320|52|100
4560|52|0
4560|48|100
4800|48|0
4800|36|100
5040|36|0
5040|57|100
5160|57|0
5160|59|100
5280|59|0
5280|60|100
5400|60|0
5400|59|100
5520|59|0
5520|57|100
5640|57|0
5640|55|100
5760|55|0
5760|54|100
6000|54|0
6000|50|100
6240|50|0
6240|38|100
6480|38|0
6480|50|100
6600|50|0
6600|52|100
6720|52|0
6720|54|100
6840|54|0
6840|55|100
6960|55|0
6960|57|100
7080|57|0
7080|59|100
7200|59|0
7200|60|100
7320|60|0
7320|59|100
7440|59|0
7440|60|100
7560|60|0
7560|57|100
7680|57|0
7680|60|100
7800|60|0
7800|59|100
7920|59|0
7920|60|100
8040|60|0
8040|57|100
8160|57|0
8160|50|100
8280|50|0
8280|60|100
8400|60|0
8400|59|100
8520|59|0
8520|57|100
8640|57|0
8640|59|100
8760|59|0
8760|57|100
8880|57|0
8880|59|100
9000|59|0
9000|55|100
9120|55|0
9120|59|100
9240|59|0
9240|57|100
9360|57|0
9360|59|100
9480|59|0
9480|55|100
9600|55|0
9600|48|100
9720|48|0
9720|59|100
9840|59|0
9840|57|100
9960|57|0
9960|55|100
10080|55|0
10080|54|100
10200|54|0
10200|57|100
10320|57|0
10320|62|100
10440|62|0
10440|50|100
10560|50|0
10560|55|100
10800|55|0
10800|47|100
11040|47|0
11040|38|100
11280|38|0
11280|54|100
11520|54|0
11520|55|100
12240|55|0
12240|59|100
12360|59|0
12360|57|100
12480|57|0
12480|55|100
12600|55|0
12600|54|100
12720|54|0
12720|52|100
12840|52|0
12840|50|100
12960|50|0
12960|64|100
13200|64|0
13200|61|100
13440|61|0
13440|57|100
13680|57|0
13680|59|100
13800|59|0
13800|61|100
13920|61|0
13920|62|100
14040|62|0
14040|54|100
14160|54|0
14160|52|100
14280|52|0
14280|50|100
14400|50|0
14400|45|100
14640|45|0
14640|62|100
14880|62|0
14880|61|100
15120|61|0
15120|59|100
15240|59|0
15240|57|100
15360|57|0
15360|62|100
15480|62|0
15480|57|100
15600|57|0
15600|59|100
15720|59|0
15720|54|100
15840|54|0
15840|55|100
15960|55|0
15960|54|100
16080|54|0
16080|55|100
16200|55|0
16200|52|100
16320|52|0
16320|55|100
16440|55|0
16440|54|100
16560|54|0
16560|55|100
16680|55|0
16680|52|100
16800|52|0
16800|45|100
16920|45|0
16920|55|100
17040|55|0
17040|54|100
17160|54|0
17160|52|100
17280|52|0
17280|54|100
17400|54|0
17400|52|100
17520|52|0
17520|54|100
17640|54|0
17640|50|100
17760|50|0
17760|54|100
17880|54|0
17880|52|100
18000|52|0
18000|54|100
18120|54|0
18120|50|100
18240|50|0
18240|43|100
18360|43|0
18360|54|100
18480|54|0
18480|52|100
18600|52|0
18600|50|100
18720|50|0
18720|62|100
18840|62|0
18840|61|100
18960|61|0
18960|59|100
19080|59|0
19080|57|100
19200|57|0
19200|62|100
19440|62|0
19440|61|100
19560|61|0
19560|59|100
19680|59|0
19680|57|100
19800|57|0
19800|55|100
19920|55|0
19920|54|100
20040|54|0
20040|52|100
20160|52|0
20160|50|100
20280|50|0
20280|52|100
20400|52|0
20400|50|100
20520|50|0
20520|54|100
20640|54|0
20640|50|100
20760|50|0
20760|52|100
20880|52|0
20880|50|100
21000|50|0
21000|55|100
21120|55|0
21120|50|100
21240|50|0
21240|52|100
21360|52|0
21360|50|100
21480|50|0
21480|57|100
21600|57|0
21600|50|100
21720|50|0
21720|52|100
21840|52|0
21840|50|100
21960|50|0
21960|59|100
22080|59|0
22080|50|100
22200|50|0
